articleID,reportedValue,obtainedValue,valueType,percentageError,comparisonOutcome,eyeballCheck
-2008,0.89,0.89,other,0,MATCH,NA
-2008,0.3,0.3,other,0,MATCH,NA
-2008,0.25,0.25,other,0,MATCH,NA
-2008,0.8,0.8,other,0,MATCH,NA
-2008,0.7,0.7,other,0,MATCH,NA
-2008,0.75,0.75,other,0,MATCH,NA
-2008,0.8,0.8,other,0,MATCH,NA
-2008,0.75,0.75,other,0,MATCH,NA
-2008,0.75,0.75,other,0,MATCH,NA
-2008,0.85,0.85,other,0,MATCH,NA
-2008,0.7,0.7,other,0,MATCH,NA
-2008,0.8,0.8,other,0,MATCH,NA
-2008,0.8,0.8,other,0,MATCH,NA
-2008,0.8,0.8,other,0,MATCH,NA
-2008,0.75,0.75,other,0,MATCH,NA
-2008,0.7,0.7,other,0,MATCH,NA
-2008,0.011,0.011,p,0,MATCH,NA
-2008,<0.005,0.001565,p,NA,MATCH,TRUE
